Leland, John (1691-1766);Leland, John (1691-1766)
Leland, John (1754-1841);Leland, John (1754-1841)
Lewis, John (1702-1747);Lewis, John (1702-NA);Lewis, John (1702-1747)
Lewis, John (NA-1747);Lewis, John (1675-1747);Lewis, John (NA-1747)
Lilly, William (1602-1675);Lilly, William (1602-1681);Lilly, William (1602-1675)
Lindsay, David (1490-1555);Lindsay, David (1490-1555)
Lindsay, David (1490-1641);Lindsay, David (1575-1641);Lindsay, David (1490-1641)
Lockhart, George (1683-1732);Lockhart, George (1681-1732);Lockhart, George (1683-1732)
Marsh, Henry (1663-1664);Marsh, Henry (active 1663-1664);Marsh, Henry (1663-1664)
Marsh, Henry (1720-1664);Marsh, Henry (???1720-1664);Marsh, Henry (1720-1664)
Marsh, John (1600-1699);Marsh, John (active during 1600-1699);Marsh, John (1600-1699)
Marsh, John (1742-1821);Marsh, John (1742-1821)
Mason, Robert (1600-1699);Mason, Robert (active during 1600-1699);Mason, Robert (1600-1699)
Mason, Robert (1789-NA);Mason, Robert (1789-1699);Mason, Robert (active 1789-1789);Mason, Robert (1789-NA)
Mason, William (1672-1709);Mason, William (active 1672-1709);Mason, William (1672-1709)
Mason, William (1719-1791);Mason, William (1719-1791)
Mason, William (1725-1797);Mason, William (1725-1797)
Maynard, John (1592-1658);Maynard, John (1592-1658)
Maynard, John (1602-1690);Maynard, John (1602-1690)
May, Thomas (1595-1650);May, Thomas (1595-1650)
May, Thomas (1645-1718);May, Thomas (1645-1718)
Melville, James (1535-1617);Melville, James (1535-1617)
Melville, James (1556-1614);Melville, James (1556-1614)
Middleton, Thomas (1586-1666);Middleton, Thomas (1586-1666)
Middleton, Thomas (1600-1699);Middleton, Thomas (active during 1600-1699);Middleton, Thomas (1600-1699)
Middleton, Thomas (NA-1627);Middleton, Thomas (1580-1627);Middleton, Thomas (NA-1627)
Morgan, J (1739-NA);Morgan, J (???1739-NA);Morgan, J (1739-NA)
Morgan, J (1752-NA);Morgan, J (???1752-NA);Morgan, J (1752-NA)
Morgan, Thomas (NA-1679);Morgan, Thomas (???NA-1679);Morgan, Thomas (NA-1679)
Morgan, Thomas (NA-1743);Morgan, Thomas (NA-1743)
Morley, Thomas (1689-NA);Morley, Thomas (1689-1603);Morley, Thomas (active 1689-1689);Morley, Thomas (1689-NA)
Morley, Thomas (NA-1603);Morley, Thomas (1557-1603);Morley, Thomas (NA-1603)
Morton, Thomas (1575-1646);Morton, Thomas (1575-1646)
Morton, Thomas (1600-1699);Morton, Thomas (active during 1600-1699);Morton, Thomas (1600-1699)
Newcomb, Thomas (1682-1691);Newcomb, Thomas (???1682-1691);Newcomb, Thomas (1682-1691)
Newcomb, Thomas (1682-1765);Newcomb, Thomas (1682-1765)
Newton, William (1735-1744);Newton, William (???1735-1744);Newton, William (1735-1744)
Newton, William (1735-1790);Newton, William (1735-1790)
Newton, William (1735-NA);Newton, William (???1735-NA);Newton, William (1735-NA)
Norton, John (1606-1663);Norton, John (1606-1663)
Norton, John (1715-1778);Norton, John (1715-1778)
Oswald, James (1711-1769);Oswald, James (1711-1769)
Oswald, James (1711-1793);Oswald, James (1703-1793);Oswald, James (1711-1793)
Owen, John (1616-1683);Owen, John (1616-1683)
Owen, John (1766-1822);Owen, John (1766-1822)
Owen, John (NA-NA);Owen, John (???NA-NA);Owen, John (NA-NA)
Palmer, Samuel (1741-1724);Palmer, Samuel (???1741-1724);Palmer, Samuel (1741-1724)
Palmer, Samuel (1741-1732);Palmer, Samuel (1692-1732);Palmer, Samuel (1741-1732)
Palmer, Samuel (1741-1813);Palmer, Samuel (1741-1813)
Parkinson, James (1653-1722);Parkinson, James (1653-1722)
Parkinson, James (1755-1824);Parkinson, James (1755-1824)
Patten, William (1548-1580);Patten, William (active 1548-1580);Patten, William (1548-1580)
Patten, William (1763-1839);Patten, William (1763-1839)
Pemberton, Israel (1685-1754);Pemberton, Israel (1685-1754)
Pemberton, Israel (1715-1779);Pemberton, Israel (1715-1779)
Penn, William (1644-1718);Penn, William (1644-1718)
Penn, William (1776-1845);Penn, William (1776-1845)
Phillips, John (1570-1591);Phillips, John (active 1570-1591);Phillips, John (1570-1591)
Phillips, John (1631-1706);Phillips, John (1631-1706)
Pitt, William (1708-1778);Pitt, William (1708-1778)
Pitt, William (1759-1806);Pitt, William (1759-1806)
Preston, Thomas (1537-1598);Preston, Thomas (1537-1598)
Preston, Thomas (1563-1640);Preston, Thomas (1563-1640)
Preston, William (1742-1818);Preston, William (1742-1818)
Preston, William (1753-1807);Preston, William (1753-1807)
Price, John (1502-1555);Price, John (1502-1555)
Price, John (1600-1699);Price, John (active during 1600-1699);Price, John (1600-1699)
Price, John (1625-1691);Price, John (1625-1691)
Price, John (NA-NA);Price, John (???NA-NA);Price, John (NA-NA)
Ramsay, James (1733-1824);Ramsay, James (1733-1789);Ramsay, James (1733-1824)
Richards, George (1755-1814);Richards, George (1755-1814)
Richards, George (1767-1837);Richards, George (1767-1837)
Richardson, William (1743-1814);Richardson, William (1743-1814)
Richardson, William (1778-1815);Richardson, William (active 1778-1815);Richardson, William (1778-1815)
Roberts, John (1712-1772);Roberts, John (1712-1772)
Roberts, John (1785-1772);Roberts, John (???1785-1772);Roberts, John (1785-1772)
Robertson, William (1721-1793);Robertson, William (1721-1793)
Robertson, William (1740-1803);Robertson, William (1740-1803)
Roberts, William (1673-NA);Roberts, William (???1673-NA);Roberts, William (1673-NA)
Roberts, William (1763-NA);Roberts, William (active 1763-1763);Roberts, William (1763-NA)
Robinson, John (1600-1699);Robinson, John (active during 1600-1699);Robinson, John (1600-1699)
Robinson, John (1650-1723);Robinson, John (1650-1723)
