Arrigo;männlich
Arron;männlich
Arsenio;männlich
Arsénis;männlich
Art;männlich
Artair;männlich
Arte;männlich
Artemas;männlich
Artemis;unspezifisch
Artemus;männlich
Arther;männlich
Arthon;männlich
Arthur;männlich
Artie;männlich
Arto;männlich
Arttu;männlich
Artturi;männlich
Artur;männlich
Arturas;männlich
Arturo;männlich
Artus;männlich
Arty;männlich
Artémios;männlich
Arv;männlich
Arvid;männlich
Arvie;männlich
Arvin;männlich
Arvo;männlich
Arvy;männlich
Aryan;männlich
Arístarchos;männlich
Arístos;männlich
Asa;unspezifisch
Asaf;männlich
Asaph;männlich
Asbjörn;männlich
Ase;männlich
Ash;männlich
Ashbey;männlich
Ashby;männlich
Asher;männlich
Ashford;männlich
Ashley;unspezifisch
Ashlin;männlich
Ashon;männlich
Ashton;männlich
Ashur;männlich
Asimákis;männlich
Askan;männlich
Asklepios/Äskulap;männlich
Asklipiós;männlich
Asko;männlich
Aslan;männlich
Asmund;männlich
Asterix;männlich
Astiánax;männlich
Astrís;männlich
Astyanax;männlich
Astérios;männlich
Astéris;männlich
Asur;männlich
Ata;männlich
Atakan;männlich
Atanur;männlich
Athan;männlich
Athanasios;männlich
Athanasius;männlich
Athanásios;männlich
Atheron;männlich
Athinagóras;männlich
Athinódoros;männlich
Atlas;männlich
Atman;männlich
Atso;männlich
Atte;männlich
Attila;männlich
Attilo;männlich
Attis;männlich
Aube;männlich
Auberon;männlich
Aubert;männlich
Aubrey;unspezifisch
Aubry;unspezifisch
Audric;männlich
Audun;männlich
Augie;männlich
August;männlich
Auguste;unspezifisch
Augustin;männlich
Augustine;unspezifisch
Augusto;männlich
Augustus;männlich
Augy;männlich
Aukusti;männlich
Aulis;männlich
Aurek;männlich
Aurel;unspezifisch
Aurelien;männlich
Aurelio;männlich
Aurelius;männlich
Aurthur;männlich
Aurèle;männlich
Austen;männlich
Austin;unspezifisch
Austyn;männlich
Ave;männlich
Avel;männlich
Averell;männlich
Averil;unspezifisch
Averill;männlich
Avery;unspezifisch
Avgerinós;männlich
Avgerís;männlich
Avgoustos;männlich
Avgoustínos;männlich
Avgoustís;männlich
Avi;männlich
Avictor;männlich
Avidan;männlich
Avigdor;männlich
Avram;männlich
Avraám;männlich
Avrom;männlich
Ax;männlich
Axe;männlich
Axel;männlich
Aydan;männlich
Ayden;männlich
Aydin;männlich
Ayko;männlich
Aylmar;männlich
Aylmer;männlich
Aymer;männlich
Ayold;männlich
Aytaç;männlich
Aytekin;männlich
Azad;männlich
Azarel;männlich
Azariah;männlich
Azaziah;männlich
Azel;männlich
Aziz;männlich
Azrael;männlich
Azzo;männlich
Bacchus;männlich
Bado;männlich
Baghira;männlich
Bahadir;männlich
Bahattin;männlich
Bahri;männlich
Bail;männlich
Bailey;unspezifisch
Bailie;männlich
Baillie;männlich
Baily;männlich
Baird;männlich
Balbo;männlich
Bald;männlich
Baldassare;männlich
Baldassarre;männlich
Baldovino;männlich
Baldrick;männlich
Balduin;männlich
Baldur;männlich
Baldwin;männlich
Bale;männlich
Balendin;männlich
Balian;männlich
Balin;männlich
Balint;männlich
Baltasar;männlich
Balte;männlich
Balthasar;männlich
Balthazar;männlich
Baltram;männlich
Balu;männlich
Ban;männlich
Bancroft;männlich
Bank;männlich
Banky;männlich
Banning;männlich
Baptist;männlich
Baptiste;männlich
Bar;männlich
Barabas;männlich
Barak;männlich
Baran;männlich
Barbabas;männlich
Barbaros;männlich
Barclay;männlich
Barcley;männlich
Bard;männlich
Barde;männlich
Bardo;männlich
Baris;männlich
Barn;männlich
Barnabas;männlich
Barnabe;männlich
Barnaby;männlich
Barnard;männlich
Barnd;männlich
Barnebas;männlich
Barnett;männlich
Barney;männlich
Barnie;männlich
Barny;männlich
Baron;männlich
Barr;männlich
Barret;männlich
Barrett;männlich
Barri;männlich
Barrie;unspezifisch
Barris;männlich
Barromeo;männlich
Barron;männlich
Barry;unspezifisch
Bart;männlich
Bartel;männlich
Barth;männlich
Barthasar;männlich
Barthel;männlich
Barthold;männlich
Bartholemy;männlich
Bartholomeo;männlich
Bartholomeus;männlich
Bartholomew;männlich
Bartholomäus;männlich
Bartie;männlich
Bartlet;männlich
Bartlett;männlich
Bartolemo;männlich
Bartolomeo;männlich
Bartolomé;männlich
Barton;männlich
Bartram;männlich
Barty;männlich
Baruch;männlich
Bary;männlich
Baryram;männlich
Baschir;männlich
Base;männlich
Basil;männlich
Basile;männlich
Basilio;männlich
Basilius;männlich
Basko;männlich
Bassam;männlich
Bastiaan;männlich
Bastian;männlich
Bastien;männlich
Bat;männlich
Batholomew;männlich
Battista;männlich
Batuhan;männlich
Baudoin;männlich
Bavol;männlich
Bax;männlich
Baxie;männlich
Baxter;männlich
Baxy;männlich
Bay;männlich
Bayani;männlich
Bayard;männlich
Baylor;männlich
Bayram;männlich
Beacan;männlich
Beagan;männlich
Beale;männlich
Bealle;männlich
Beaman;männlich
Bear;männlich
Bearnard;männlich
Beat;männlich
Beath;männlich
Beatus;männlich
Beau;männlich
Beaufort;männlich
Beauregard;männlich
Becan;männlich
Beck;männlich
Beelzebub;männlich
Bekir;männlich
Bela;unspezifisch
Beldon;männlich
Belen;unspezifisch
Belmin;männlich
Belsazar;männlich
Beltrame;männlich
Beltran;männlich
Beltrán;männlich
Bem;männlich
Bemus;männlich
Ben;männlich
Ben-Joshua;männlich
Benaiah;männlich
Bendick;männlich
Bendicty;männlich
Bendix;männlich
Benedetto;männlich
Benedick;männlich
Benedict;männlich
Benedicto;männlich
Benedikt;männlich
Bengt;männlich
Beniamino;männlich
Benigno;männlich
Benito;männlich
Benjamen;männlich
Benjamin;männlich
Benji;männlich
Benjie;männlich
Benjiro;männlich
Benjy;männlich
Benn;männlich
Bennet;männlich
Bennett;männlich
Bennie;unspezifisch
Benno;männlich
Benny;unspezifisch
Benoit;männlich
Benoît;männlich
Benson;männlich
Bent;männlich
Bentlee;männlich
Bentley;männlich
Benton;männlich
Benvenuto;männlich
Benyamin;männlich
Beowulf;männlich
Beppe;männlich
Beppo;männlich
Ber;männlich
Berat;männlich
Berend;männlich
Berengar;männlich
Berk;männlich
Berkay;männlich
Berke;männlich
Berkel;männlich
Berkeley;männlich
Berker;männlich
Berki;männlich
Berkie;männlich
Berkley;männlich
Berkly;männlich
Berky;männlich
Bern;männlich
Bernadino;männlich
Bernard;männlich
Bernardo;männlich
Bernarr;männlich
Bernd;männlich
Bernd-Dieter;männlich
Bernd-Michael;männlich
Berndt;männlich
Berne;männlich
Bernfried;männlich
Bernhard;männlich
Bernhelm;männlich
Bernie;unspezifisch
Bernt;männlich
Bernward;männlich
Berny;unspezifisch
Bero;männlich
Bersh;männlich
Bert;unspezifisch
Berthold;männlich
Berti;unspezifisch
Bertie;unspezifisch
Bertil;männlich
Bertilo;männlich
Bertold;männlich
Bertoldo;männlich
Bertolt;männlich
Berton;männlich
Bertram;männlich
Bertrame;männlich
Bertrand;männlich
Bertrando;männlich
Bertwin;männlich
Berty;unspezifisch
Beryl;unspezifisch
Besart;männlich
Bethuel;männlich
Bettino;männlich
Bev;unspezifisch
Beval;männlich
Bevan;männlich
Bevin;unspezifisch
Bevis;männlich
Bevon;männlich
Biaggio;männlich
Biagino;männlich
Biagio;männlich
Bibieno;männlich
Bil;männlich
Bilal;männlich
Bill;unspezifisch
Billie;unspezifisch
Billy;unspezifisch
Bing;männlich
Bink;männlich
Binky;männlich
Binsbart;männlich
Birch;männlich
Birger;männlich
Birk;männlich
Birol;männlich
Biron;männlich
Bjarne;männlich
Bjorn;männlich
Björn;männlich
Blade;männlich
Blaine;männlich
Blair;unspezifisch
Blaise;männlich
Blake;unspezifisch
Blane;männlich
Blasius;männlich
Blayne;männlich
Blaze;männlich
Bo;männlich
Boas;männlich
Boaz;männlich
Bob;männlich
Bob-Marvin;männlich
Bobbie;unspezifisch
Bobby;unspezifisch
Bodo;männlich
Bogart;männlich
Bogdan;männlich
Bogdashha;männlich
Bogey;männlich
Bogumil;männlich
Bohdan;männlich
Boigie;männlich
Bojan;männlich
Boje;männlich
Bolko;männlich
Bolodenka;männlich
Bolton;männlich
Bonar;männlich
Bonaventura;männlich
Bond;männlich
Bondie;männlich
Bondon;männlich
Bondy;männlich
Bone;männlich
Boniface;männlich
Bonifacio;männlich
Bonifatius;männlich
Bonifaz;männlich
Booker;männlich
Boone;männlich
Boonie;männlich
Boony;männlich
Boot;männlich
Boote;männlich
Booth;männlich
Boothe;männlich
Bora;männlich
Borchard;männlich
Bord;männlich
Borden;männlich
Bordie;männlich
Bordy;männlich
Borg;männlich
